feature-vector-1,feature-vector-2,label,cluster
-7.127936,8.255295,IMG_20210223_102008.jpg,7
15.784226,6.0871572,IMG_20210223_102746.jpg,0
-4.7481594,7.3956947,IMG_20200224_132619.jpg,2
2.4871616,-0.89969254,IMG_20200224_132816.jpg,1
15.277506,8.313323,IMG_20210329_13252995.jpg,9
-3.3704555,7.369615,IMG_20200224_132427.jpg,2
8.220882,9.946248,IMG_20210223_101844.jpg,3
-8.67842,9.204566,IMG_20210329_132235.jpg,7
-5.3333826,7.576504,IMG_20210223_102418.jpg,2
-10.673241,16.149033,IMG_20210223_102342.jpg,8
15.242539,8.654359,IMG_20210223_102425.jpg,9
1.3905845,-1.4299916,IMG_20200224_132354.jpg,1
-5.9461474,7.780077,IMG_20210223_102141.jpg,2
-11.308387,15.615783,IMG_20210329_13252994.jpg,8
-10.758577,16.18714,IMG_20200224_132156.jpg,8
-3.1805806,7.491795,IMG_20210223_102035.jpg,2
9.640453,9.935501,IMG_20210223_102948.jpg,3
-4.750101,7.4455957,IMG_20210223_102545.jpg,2
-12.332103,13.700883,IMG_20200224_132208.jpg,5
-3.267674,7.4586787,IMG_20210223_101925.jpg,2
-3.6859965,7.3962436,IMG_20210223_101919.jpg,2
15.695593,6.094429,IMG_20200224_132544.jpg,0
2.8416142,-0.5452782,IMG_20200224_1328010.jpg,1
1.0190775,-1.5687572,IMG_20210223_102235.jpg,1
15.231344,8.592868,IMG_20210223_102023.jpg,9
-5.8834076,7.7475896,IMG_20200224_132140.jpg,2
0.7334542,-1.3674043,IMG_20210329_13252996.jpg,1
1.191372,-1.5831236,IMG_20200224_132801.jpg,1
-6.9772673,8.174304,IMG_20200224_132356.jpg,7
2.81151,-0.5713206,IMG_20210223_102432.jpg,1
0.6542022,-1.1397641,IMG_20200224_132419.jpg,1
-6.721426,7.9903092,IMG_20200224_132431.jpg,7
14.933882,4.5310273,IMG_20210223_102156.jpg,6
-4.1746883,7.4391303,IMG_20210329_13252997.jpg,2
-3.3152971,7.437624,IMG_20210223_102817.jpg,2
14.836721,4.9222474,IMG_20200224_132627.jpg,6
15.413057,8.793827,IMG_20200224_132009.jpg,9
-12.173907,13.272643,IMG_20210223_102552.jpg,5
9.681661,9.92821,IMG_20200224_131931.jpg,3
-10.790197,16.28522,IMG_20200224_1328011.jpg,8
-12.073101,12.658857,IMG_20210223_101932.jpg,5
-4.811442,7.5058923,IMG_20200224_132237.jpg,2
0.4924051,-0.89454716,IMG_20200224_132743.jpg,1
-10.4893055,10.646869,IMG_20200224_132145.jpg,4
-10.9581175,16.094807,IMG_20210223_102620.jpg,8
-11.406253,15.429285,IMG_20210329_13252993.jpg,8
1.1982234,-1.3977882,IMG_20200224_131855.jpg,1
-5.4781833,7.6185317,IMG_20210329_13252992.jpg,2
-9.169544,9.594471,IMG_20210223_102219.jpg,7
-6.2531247,7.755501,IMG_20210223_102225.jpg,2
-10.974937,11.063252,IMG_20210329_132346.jpg,4
15.626158,5.834921,IMG_20200224_131922.jpg,0
-8.474891,9.107476,IMG_20200224_132026.jpg,7
-11.393471,11.531619,IMG_20210329_13252990.jpg,4
2.5414891,-0.85307145,IMG_20200224_132422.jpg,1
14.812879,4.377294,IMG_20210329_13252991.jpg,6
8.663541,9.919915,IMG_20200224_132812.jpg,3
14.872888,4.495622,IMG_20200224_132609.jpg,6
8.2630205,10.049464,IMG_20210223_102018.jpg,3
2.34629,-1.0471661,IMG_20200224_132557.jpg,1
0.33962405,-0.6150712,IMG_20200224_132256.jpg,1
-10.346885,10.513474,IMG_20210223_102255.jpg,4
1.0711852,-1.5566827,IMG_20200224_132726.jpg,1
9.536924,10.039393,IMG_20210223_102731.jpg,3
8.68052,10.006289,IMG_20200224_132444.jpg,3
9.224481,10.008485,IMG_20210223_102309.jpg,3
-7.9309816,8.736604,IMG_20210223_102453.jpg,7
-11.089187,11.182664,IMG_20200224_132121.jpg,4
15.52636,8.588075,IMG_20210223_102903.jpg,9
-3.3294797,7.3945003,IMG_20210223_101950.jpg,2
14.731635,4.426277,IMG_20200224_132651.jpg,6
15.377074,5.476792,IMG_20200224_132309.jpg,0
-8.226262,8.94834,IMG_20210223_102322.jpg,7
-6.168138,7.8928404,IMG_20210223_102336.jpg,2
-8.930412,9.40797,IMG_20210223_102121.jpg,7
9.680447,9.901338,IMG_20200224_131952.jpg,3
8.111699,9.864377,IMG_20210329_132320.jpg,3
-11.173169,11.274539,IMG_20210329_132446.jpg,4
0.6696003,-1.3464891,IMG_20200224_132244.jpg,1
-3.6013489,7.310527,IMG_20210223_102737.jpg,2
-12.307547,13.007967,IMG_20210223_102045.jpg,5
-10.915747,16.198593,IMG_20210223_102657.jpg,8
-12.153748,12.952964,IMG_20210329_132522.jpg,5
15.758498,5.8156185,IMG_20210223_102440.jpg,0
15.691072,6.161138,IMG_20200224_132655.jpg,0
8.390887,10.125442,IMG_20210223_102520.jpg,3
-4.4376807,7.3501954,IMG_20200224_132523.jpg,2
-6.838348,8.082377,IMG_20200224_132251.jpg,7
-4.8306165,7.521111,IMG_20200224_132045.jpg,2
9.122919,9.960397,IMG_20210223_102907.jpg,3
-10.9221945,11.012716,IMG_20200224_132737.jpg,4
2.7827632,-0.6046,IMG_20200224_132051.jpg,1
15.278487,8.685522,IMG_20200224_132657.jpg,9
-8.865698,9.343311,IMG_20200224_133005.jpg,7
0.6719957,-0.73618174,IMG_20200224_132454.jpg,1
-11.105887,15.8153,IMG_20210223_102127.jpg,8
